SWISS RE AG NAM.  SF -,10;CH0126881561;000A1H81M;SR9;SCHWEIZ LIECHTENSTEIN
LION E-MOBILITY AG SF-,13;CH0132594711;000A1JG3H;LMI;SCHWEIZ LIECHTENSTEIN
EDAG ENGINEERING G.SF-,04;CH0303692047;000A143NB;ED4;SCHWEIZ LIECHTENSTEIN
ASMALLWORLD AG SF 1;CH0404880129;000A2JE3W;1Q7;SCHWEIZ LIECHTENSTEIN
HAIER SMART HOME CO.D YC1;CNE1000031C1;000A2JM2W;690D;ASIEN
L+G-L+G DAX DAILY 2X L.DZ;DE000A0X8994;000A0X899;DEL2;EXCHANGE TRADED FUNDS - PASSIV
L+G-L+G DAX D.2X SHORT DZ;DE000A0X9AA8;000A0X9AA;DES2;EXCHANGE TRADED FUNDS - PASSIV
DK DAX;DE000ETFL011;000ETFL01;EL4A;EXCHANGE TRADED FUNDS - PASSIV
DK DAX (AUSSCHUETTEND);DE000ETFL060;000ETFL06;EL4F;EXCHANGE TRADED FUNDS - PASSIV
DK DAXPLUS MAX.DIVIDEND;DE000ETFL235;000ETFL23;EL4X;EXCHANGE TRADED FUNDS - PASSIV
DK DAX EX FINANCIALS 30;DE000ETFL433;000ETFL43;ELF0;EXCHANGE TRADED FUNDS - PASSIV
COMSTAGE 1-DAX UCIT.ETF I;DE000ETF9017;000ETF901;E901;EXCHANGE TRADED FUNDS - PASSIV
COMSTAGE 1-DIVDAX U.ETF I;DE000ETF9033;000ETF903;E903;EXCHANGE TRADED FUNDS - PASSIV
ISHARES DIVDAX UCITS ETF;DE0002635273;263527;EXSB;EXCHANGE TRADED FUNDS - PASSIV
ISHS CORE DAX UCITS ETF;DE0005933931;593393;EXS1;EXCHANGE TRADED FUNDS - PASSIV
LY.D.SHORTDAX X2 UETF A;FR0010869495;000LYX0FV;LYQL;EXCHANGE TRADED FUNDS - PASSIV
MUL-LYXOR DAX DR UC.ETF A;LU0252633754;000LYX0AC;LYY7;EXCHANGE TRADED FUNDS - PASSIV
MUL-LYX.DLY.LEVDAX U.E. A;LU0252634307;000LYX0AD;LYY8;EXCHANGE TRADED FUNDS - PASSIV
XTR.DAX 1C;LU0274211480;000DBX1DA;DBXD;EXCHANGE TRADED FUNDS - PASSIV
XTR.SHORTDAX DAILY SW. 1C;LU0292106241;000DBX1DS;DXSN;EXCHANGE TRADED FUNDS - PASSIV
